task,start,text,yOffset
Key Milestones,2024-11-24,Bedford\nClosure,25
Key Milestones,2024-12-12,DC On-net\nGlobal Comms,10
Key Milestones,2024-12-20,TCQ & TE\nComms update out\non GL live schedules,5
